Training: 209 steps, batch=32, micro=1, lr=0.0002
Unsloth: Will smartly offload gradients to save VRAM!
step 1/209: loss=11.7889, lr=2.00e-04, peak=69.9GB
step 2/209: loss=12.2489, lr=1.99e-04, peak=69.9GB
step 3/209: loss=10.0070, lr=1.98e-04, peak=69.9GB
step 4/209: loss=9.9354, lr=1.97e-04, peak=69.9GB
step 5/209: loss=7.7959, lr=1.96e-04, peak=69.9GB
step 6/209: loss=6.1199, lr=1.95e-04, peak=69.9GB
step 7/209: loss=5.8600, lr=1.94e-04, peak=69.9GB
step 8/209: loss=4.5199, lr=1.93e-04, peak=69.9GB
step 9/209: loss=4.2408, lr=1.92e-04, peak=69.9GB
step 10/209: loss=3.7129, lr=1.91e-04, peak=69.9GB
step 11/209: loss=3.7753, lr=1.90e-04, peak=69.9GB
step 12/209: loss=3.5421, lr=1.89e-04, peak=69.9GB
step 13/209: loss=3.3097, lr=1.89e-04, peak=69.9GB
step 14/209: loss=3.0064, lr=1.88e-04, peak=69.9GB
step 15/209: loss=2.8392, lr=1.87e-04, peak=69.9GB
step 16/209: loss=2.7731, lr=1.86e-04, peak=69.9GB
step 17/209: loss=2.6757, lr=1.85e-04, peak=69.9GB
step 18/209: loss=2.3647, lr=1.84e-04, peak=69.9GB
step 19/209: loss=2.2681, lr=1.83e-04, peak=69.9GB
step 20/209: loss=2.2153, lr=1.82e-04, peak=69.9GB
step 21/209: loss=2.1339, lr=1.81e-04, peak=69.9GB
step 22/209: loss=2.0894, lr=1.80e-04, peak=69.9GB
step 23/209: loss=2.0418, lr=1.79e-04, peak=69.9GB
step 24/209: loss=1.9485, lr=1.78e-04, peak=69.9GB
step 25/209: loss=1.7991, lr=1.77e-04, peak=69.9GB
step 26/209: loss=1.8146, lr=1.76e-04, peak=69.9GB
step 27/209: loss=1.7317, lr=1.75e-04, peak=69.9GB
step 28/209: loss=1.5394, lr=1.74e-04, peak=69.9GB
step 29/209: loss=1.4381, lr=1.73e-04, peak=69.9GB
step 30/209: loss=1.4337, lr=1.72e-04, peak=69.9GB
step 31/209: loss=1.2518, lr=1.71e-04, peak=69.9GB
step 32/209: loss=1.2394, lr=1.70e-04, peak=69.9GB
step 33/209: loss=1.2617, lr=1.69e-04, peak=69.9GB
step 34/209: loss=1.1214, lr=1.68e-04, peak=69.9GB
step 35/209: loss=1.0861, lr=1.67e-04, peak=69.9GB
step 36/209: loss=0.9384, lr=1.67e-04, peak=69.9GB
step 37/209: loss=0.9471, lr=1.66e-04, peak=69.9GB
step 38/209: loss=0.9882, lr=1.65e-04, peak=69.9GB
step 39/209: loss=0.9150, lr=1.64e-04, peak=69.9GB
step 40/209: loss=0.8588, lr=1.63e-04, peak=69.9GB
step 41/209: loss=0.8475, lr=1.62e-04, peak=69.9GB
step 42/209: loss=0.8294, lr=1.61e-04, peak=69.9GB
step 43/209: loss=0.7647, lr=1.60e-04, peak=69.9GB
step 44/209: loss=0.7799, lr=1.59e-04, peak=69.9GB
step 45/209: loss=0.7625, lr=1.58e-04, peak=69.9GB
step 46/209: loss=0.7331, lr=1.57e-04, peak=69.9GB
step 47/209: loss=0.7295, lr=1.56e-04, peak=69.9GB
step 48/209: loss=0.6844, lr=1.55e-04, peak=69.9GB
step 49/209: loss=0.7192, lr=1.54e-04, peak=69.9GB
step 50/209: loss=0.6303, lr=1.53e-04, peak=69.9GB
step 51/209: loss=0.5973, lr=1.52e-04, peak=69.9GB
step 52/209: loss=0.6150, lr=1.51e-04, peak=69.9GB
step 53/209: loss=0.5841, lr=1.50e-04, peak=69.9GB
step 54/209: loss=0.5299, lr=1.49e-04, peak=69.9GB
step 55/209: loss=0.5090, lr=1.48e-04, peak=69.9GB
step 56/209: loss=0.5609, lr=1.47e-04, peak=69.9GB
step 57/209: loss=0.5035, lr=1.46e-04, peak=69.9GB
step 58/209: loss=0.4971, lr=1.45e-04, peak=69.9GB
step 59/209: loss=0.5243, lr=1.44e-04, peak=69.9GB
step 60/209: loss=0.4979, lr=1.44e-04, peak=69.9GB
step 61/209: loss=0.4464, lr=1.43e-04, peak=69.9GB
step 62/209: loss=0.4407, lr=1.42e-04, peak=69.9GB
step 63/209: loss=0.3951, lr=1.41e-04, peak=69.9GB
step 64/209: loss=0.4457, lr=1.40e-04, peak=69.9GB
step 65/209: loss=0.4036, lr=1.39e-04, peak=69.9GB
step 66/209: loss=0.3964, lr=1.38e-04, peak=69.9GB
step 67/209: loss=0.3298, lr=1.37e-04, peak=69.9GB
step 68/209: loss=0.3563, lr=1.36e-04, peak=69.9GB
step 69/209: loss=0.3380, lr=1.35e-04, peak=69.9GB
step 70/209: loss=0.3198, lr=1.34e-04, peak=69.9GB
step 71/209: loss=0.3576, lr=1.33e-04, peak=69.9GB
step 72/209: loss=0.2589, lr=1.32e-04, peak=69.9GB
step 73/209: loss=0.2800, lr=1.31e-04, peak=69.9GB
step 74/209: loss=0.3372, lr=1.30e-04, peak=69.9GB
step 75/209: loss=0.2901, lr=1.29e-04, peak=69.9GB
step 76/209: loss=0.2764, lr=1.28e-04, peak=69.9GB
step 77/209: loss=0.2524, lr=1.27e-04, peak=69.9GB
step 78/209: loss=0.2770, lr=1.26e-04, peak=69.9GB
step 79/209: loss=0.2716, lr=1.25e-04, peak=69.9GB
step 80/209: loss=0.2287, lr=1.24e-04, peak=69.9GB
step 81/209: loss=0.2399, lr=1.23e-04, peak=69.9GB
step 82/209: loss=0.1959, lr=1.22e-04, peak=69.9GB
step 83/209: loss=0.2817, lr=1.22e-04, peak=69.9GB
step 84/209: loss=0.2812, lr=1.21e-04, peak=69.9GB
